% Measurements of a DFIG system - provided by Prof. Erlich
% t,V_T(pu),angle(rad),angle(°),P_e(pu),Q_e(pu),IPA_r,IQA_r
0.038,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.039,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.04,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.041,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.042,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.043,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.044,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.045,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.046,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.047,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.048,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.049,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.05,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.051,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.052,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.053,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.054,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.055,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.056,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.057,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.058,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.059,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.06,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.061,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.062,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.063,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.064,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.065,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.066,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.067,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.068,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.069,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.07,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.071,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.072,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.073,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.074,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.075,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.076,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.077,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.078,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.079,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.08,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.081,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.082,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.083,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.084,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.085,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.086,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.087,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.088,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.089,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.09,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.091,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.092,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.093,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.094,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.095,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.096,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.097,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.098,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.099,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.1,1.01048484848485,0.19947,11.429,0.982,0.057595555555556,-0.89766,-0.5843
0.101,0.726939393939394,0.2541,14.559,0.634766666666667,1.10795555555556,-0.55013,9.0048
0.102,0.722909090909091,0.24398,13.979,0.6164,1.08405555555556,-0.38551,8.8245
0.103,0.717030303030303,0.22908,13.125,0.589677777777778,1.04988888888889,-0.13895,8.5625
0.104,0.71130303030303,0.21451,12.29,0.563844444444444,1.01734444444444,0.10773,8.3055
0.105,0.705727272727273,0.20027,11.474,0.538866666666667,0.9862,0.35392,8.0515
0.106,0.700272727272727,0.18636,10.678,0.514711111111111,0.9563,0.599,7.7985
0.107,0.694878787878788,0.1728,9.9007,0.491322222222222,0.927466666666667,0.8423,7.5449
0.108,0.689545454545454,0.15959,9.1436,0.468711111111111,0.899566666666667,1.0831,7.289
0.109,0.684272727272727,0.14673,8.4068,0.446833333333333,0.872477777777778,1.3207,7.0295
0.11,0.679,0.13423,7.691,0.425688888888889,0.846077777777778,1.5543,6.7649
0.111,0.673727272727273,0.12211,6.9966,0.405277777777778,0.820266666666667,1.7831,6.494
0.112,0.668424242424242,0.11038,6.3245,0.385577777777778,0.794966666666667,2.0061,6.2154
0.113,0.663121212121212,0.099054,5.6754,0.366611111111111,0.770111111111111,2.2224,5.9283
0.114,0.657787878787879,0.088146,5.0504,0.348377777777778,0.745611111111111,2.431,5.6315
0.115,0.652363636363636,0.077677,4.4506,0.330888888888889,0.721433333333333,2.6306,5.3241
0.116,0.646909090909091,0.067671,3.8773,0.314155555555556,0.697511111111111,2.8202,5.0054
0.117,0.641393939393939,0.058153,3.3319,0.2982,0.673833333333333,2.9985,4.6747
0.118,0.635818181818182,0.049151,2.8162,0.283055555555556,0.650355555555555,3.164,4.3313
0.119,0.630151515151515,0.0407,2.3319,0.268755555555555,0.627066666666667,3.3153,3.9748
0.12,0.624424242424242,0.032833,1.8812,0.2553,0.603966666666667,3.4509,3.6049
