% Lin-ZIM System
% X = 0.2089, X' = 0.0446, T_0 = 0.0963, M = 0.0139, G_s = 4.1358, B_s = 2.8004, E_0 = 1.0750, δ_0 = -0.3689
% x0 = [1.0750, -0.3689, 364.381]
% u_0 = 1
% t, ΔP, ΔQ, ΔV
0.241,6.898644768943692,4.485242778683141,0.0165
0.242,6.959723779928469,4.512209245208143,0.0165
0.243,7.020507042546477,4.539785740081643,0.0165
0.244,7.080905455817836,4.567902014571673,0.0165
0.245,7.140834170749104,4.596489755473658,0.0165
0.246,7.200212559185392,4.625482620912533,0.0165
0.247,7.258964176896954,4.6548162713873245,0.0165
0.248,7.31701672119569,4.6844283962005,0.0165
0.249,7.3743019833740995,4.714258735416229,0.0165
0.25,7.430755796256067,4.744249097493218,0.0165
0.251,7.486317977145154,4.774343372739124,0.0165
0.252,7.540932266452153,4.804487542734443,0.0165
0.253,7.594546262279498,4.834629685874446,0.0165
0.254,7.647111351235449,4.864719979178179,0.0165
0.255,7.698582635746343,4.894710696513653,0.0165
0.256,7.748918858129952,4.924556203388237,0.0165
0.257,7.798082321687885,4.954212948452922,0.0165
0.258,7.846038809069314,4.983639451868539,0.0165
0.259,7.892757498152755,5.012796290681175,0.0165
0.26,7.938210875686585,5.041646081353065,0.0165
0.261,7.982374648923126,5.0701534595939615,0.0165
0.262,8.025227655474763,5.098285057636604,0.0165
0.263,8.066751771614376,5.1260094790983,0.0165
0.264,8.106931819235886,5.153297271568893,0.0165
0.265,8.145755471684172,5.180120897063423,0.0165
0.266,8.183213158657054,5.206454700475755,0.0165
0.267,8.21929797037531,5.232274876167191,0.0165
0.268,8.254005561209988,5.257559432821778,0.0165
0.269,8.287334052949502,5.282288156697504,0.0165
0.27,8.319283937882169,5.306442573399995,0.0165
0.271,8.349857981863046,5.330005908302693,0.0165
0.272,8.379061127527098,5.3529630457345965,0.0165
0.273,8.4069003978039,5.375300487053875,0.0165
0.274,8.433384799882278,5.397006307722633,0.0165
0.275,8.458525229766542,5.418070113495139,0.0165
0.276,8.482334377559205,5.438482995828672,0.0165
0.277,8.504826633598414,5.458237486623045,0.0165
0.278,8.526017995571692,5.477327512391665,0.0165
0.279,8.545925976721028,5.495748347963697,0.0165
0.28,8.56456951524787,5.513496569813716,0.0165
0.281,8.581968885020167,5.530570009111859,0.0165
0.282,8.598145607677337,5.546967704584197,0.0165
0.283,8.613122366222694,5.562689855269739,0.0165
0.284,8.626922920186974,5.5777377732570805,0.0165
0.285,8.639572022440367,5.592113836480428,0.0165
0.286,8.651095337724696,5.605821441651347,0.0165
0.287,8.661519362971633,5.618864957399274,0.0165
0.288,8.670871349467117,5.631249677690482,0.0165
0.289,8.679179226916668,5.642981775591966,0.0165
0.29,8.68647152946094,5.654068257443321,0.0165
0.291,8.692777323685478,5.664516917496564,0.0165
0.292,8.698126138663785,5.674336293080528,0.0165
0.293,8.702547898067513,5.683535620343383,0.0165
0.294,8.70607285437307,5.692124790623581,0.0165
0.295,8.708731525189094,5.700114307496543,0.0165
0.296,8.710554631724738,5.70751524454128,0.0165
0.297,8.71157303941442,5.714339203868179,0.0165
0.298,8.711817700710322,5.72059827544622,0.0165
0.299,8.711319600050071,5.726304997265028,0.0165
0.3,8.710109701002853,5.7314723163643135,0.0165
0.301,8.70821889559364,5.736113550760488,0.0165
0.302,8.705677955801598,5.740242352297528,0.0165
0.303,8.702517487225098,5.743872670446573,0.0165
0.304,8.698767884902718,5.747018717076063,0.0165
0.305,8.694459291276225,5.7496949322118365,0.0165
0.306,8.689621556278706,5.751915950804078,0.0165
0.307,8.684284199528033,5.75369657051568,0.0165
0.308,8.678476374603262,5.755051720544311,0.0165
0.309,8.67222683537888,5.755996431488184,0.0165
0.31,8.665563904389531,5.756545806263475,0.0165
0.311,8.658515443195514,5.756714992079181,0.0165
0.312,8.651108824717188,5.756519153473248,0.0165
0.313,8.643370907504536,5.7559734464118755,0.0165
0.314,8.635328011906225,5.755092993452033,0.0165
0.315,8.627005898100714,5.753892859965492,0.0165
0.316,8.61842974595056,5.752388031420909,0.0165
0.317,8.609624136639441,5.750593391718956,0.0165
0.318,8.600613036050184,5.748523702573859,0.0165
0.319,8.591419779840825,5.746193583933306,0.0165
0.32,8.582067060174726,5.743617495427222,0.0165
0.321,8.572576914059693,5.740809718834616,0.0165
0.322,8.562970713250289,5.737784341556428,0.0165
0.323,8.553269155666717,5.73455524108113,0.0165
0.324,8.54349225828309,5.731136070428711,0.0165
0.325,8.533659351437281,5.727540244557623,0.0165
0.326,8.523789074514202,5.7237809277183045,0.0165
0.327,8.513899372953988,5.7198710217359645,0.0165
0.328,8.504007496536328,5.715823155204474,0.0165
